-4.784086735199875040e-01 1.157917620757529908e+00 2.086863025821144579e-01
4.192389838140884728e-01 1.230269981003341506e+00 -2.797886575607634985e+00
2.491721326618299981e-01 1.037624239100213508e+00 -2.670394039206723580e+00
4.466515031232796140e-01 5.448695398355404285e-01 2.620520804755189226e-01
-9.871423722687984459e-02 -1.477967370257072810e-01 -4.424365893283170870e-01
2.543574909961925368e-01 -6.374910150919040897e-01 2.093891477649449495e+00
6.115405292960643946e-01 3.829820401277844732e-01 -7.727975533232273042e-01
4.675583713359194454e-02 1.023340834192575446e-02 1.807847048633699938e+00
-1.894252946000766699e-02 -9.274078249277458719e-01 -1.227343661701316258e+00
9.400846365383799808e-02 -2.223953543811036382e-01 3.460365874418168897e+00
-3.420535244437834521e-01 2.140433707505006167e-01 5.854384344687684205e-01
-4.412300990168177006e-01 -5.801201468500430947e-01 1.822028883050455794e-01
3.769453647202663377e-02 2.276113366551723027e-01 2.408985347149842582e+00
2.896747277556989131e-01 1.289595104932183212e+00 -1.599729554115040697e+00
-8.823624471991643736e-02 -9.016716472912000846e-01 -1.621592030956387376e+00
6.093472994079124350e-02 1.598343999691722583e+00 2.768779138506552773e+00
