1.335805898520346924e+00 -2.624170958991028924e-01
-1.241699289978585308e-01 6.992325641345739307e+00
8.947864434653927113e-01 -4.347924725088322617e+00
7.959361838724851035e-01 -1.038846774518133342e+00
-6.890441002695215644e-01 -5.601380380426237426e-01
-6.545895938820559534e-01 1.138115134626735747e+00
7.210586403094622343e-02 -1.716341271816702374e+00
1.504500049299269726e+00 -3.507550517089865316e+00
-2.120442076059006753e-01 -1.359708704822993885e-01
6.785617680644687733e-01 -4.507900170734548517e+00
-6.272135861729176698e-01 4.184166393443626841e-01
2.631555581045909586e-01 -1.092019320037828978e+00
1.315563211278055755e-01 1.366690614432250594e+00
2.188255994217492423e-02 -4.159116995551602081e+00
2.652326158814029444e+00 -3.808133674557904413e+00
-4.651472779659908130e-01 1.323936553791580817e+00
