-3.221178360721989042e-01 6.611160687826859172e-01 -5.838988366921689099e-01 1.200224800970969952e+00 1.969589451227787835e-01 3.231726812812763146e-03 8.201981105304468889e-01 -8.559367069372569858e-01 -5.975249103786705041e-01 -7.092869012258380401e-01 -9.520712140403199408e-02 -7.575159147611024713e-01 -4.473909175696617058e-01 1.216626138749173247e+00 -8.760178540405096914e-01 2.103506210940639110e-01
1.108690750375716655e-01 -2.627952136679635453e-01 -1.984960166109569005e-02 1.664977772091805197e-02 -6.566268805049692014e-01 -2.028691004384716723e-01 -3.930624850417123173e-01 1.696688280561340495e-02 4.087602790829419908e-01 -4.281062130293221413e-02 -7.370896635157065946e-01 1.420507788346636255e-02 1.298376391164065558e-01 1.170811811281552012e-01 2.096089120957550234e-01 -2.067216909833296257e-01
7.490168931267197211e-03 -6.628010408686850763e-01 -6.477382733673917592e-01 4.728992000072120283e-01 -9.173738923798654965e-02 -8.951483741470922517e-02 6.458163616646122041e-01 -4.798930449776541152e-01 -2.108959678160054196e-01 -6.154877651645002112e-01 1.571015168354517877e-01 -4.171734036366828158e-01 -5.793627976169727356e-01 5.269486795011129043e-01 -3.690104152033917839e-01 -2.592242006783379918e-02
2.863138984608485371e-01 1.012701269420468592e-01 1.945756271558193307e-01 2.090450598355813594e-01 3.046576221592181208e-02 3.837407613801722267e-02 -5.603677432161018740e-02 -1.396241511206814667e-01 3.243264550206866048e-02 4.089266635319582094e-02 -1.068159648692562080e-01 7.165714388928005885e-02 -2.476856173906628322e-01 -5.460278387570082215e-01 2.525208765497987118e-01 7.351894855037395538e-02
4.724736826776499976e-01 -7.531674865179774914e-01 9.959169800766452807e-02 8.239521824557258928e-03 -3.642634480462199620e-01 -5.721774720634164035e-01 1.367001663959357682e-01 5.494369381414544729e-02 3.786775653059308300e-01 1.888626831699367903e-01 -5.051725426110627026e-01 8.029807000843992848e-02 9.727036357915057330e-02 2.401972395568243712e-01 -3.634989710737380336e-02 -2.565157531077691400e-01
3.436751517136363288e-01 -4.496717265426969590e+00 -1.480585736506986105e+00 2.275645965536714499e+00 -3.339006493250983865e-01 -2.988285015171531889e+00 1.018876842075802758e+00 -1.826624091259158700e+00 -7.456110952087743327e-01 -1.189556921532491263e+00 -2.313919004798108414e+00 -9.416539783636624916e-01 -1.531463640008676963e+00 2.376126291114120104e+00 -1.102030225980571432e+00 -3.355119171165179104e+00
4.583167597950515981e-01 -4.046733528697814997e+00 -9.375487029873473821e-01 2.884461751568406784e-01 1.343637393414821357e+00 2.816879962003580873e-02 1.115244020743911602e+00 -1.031972936891454973e+00 -3.214382107621155393e-01 -9.155169569729830759e-01 1.691882392862002205e-01 -1.765155717681881620e-01 -5.398564156663252511e-01 2.589370185859100726e+00 -9.591106559312722046e-01 -4.890107103882606610e-01
5.323877890463679652e-01 -4.538766987726544855e+00 -1.210634056790080848e+00 1.083744084830021048e+00 8.438728022380835858e-01 -4.818905342225210942e-01 8.061715616675966256e-01 -1.096014978335943635e+00 -2.396049559956892616e-01 -1.171040940988169465e+00 4.800031262592249076e-02 -4.208765792286249807e-01 -7.706126748611831223e-01 2.274697760783719325e+00 -1.191687577472424264e+00 -7.785653519807562706e-01
-1.663302206337117506e-01 -1.392705624963153310e+00 -5.107414064288210431e-01 5.147756276535416786e-01 1.070696931454957063e-01 2.092887833283360935e-02 7.316156443717859448e-01 -5.016558595882751881e-01 -5.391761560402926756e-01 -6.046132562763847362e-01 1.914826411730082001e-01 -2.202242510621997273e-01 -5.380463540754970575e-01 1.033823338061808039e+00 -3.911072469534853657e-01 2.421851393989228260e-02
-1.885873230972268666e-01 2.243126934135515962e-02 -4.926551007201709909e-02 -3.295987722016245347e-01 1.986235957315298783e-01 7.294506068601594971e-03 2.119585007599590620e-01 2.320898824812508976e-01 7.754681416752600342e-04 1.780567803104621816e-01 -1.282075128719590285e-01 1.637813377207077148e-01 1.068773652669340601e-01 -4.238571899574726243e-01 2.012525516806939196e-01 -1.289608296381161423e-01
-4.545292315139148887e-01 4.025193126066640148e-01 -5.085447317560730651e-01 6.727394362464842459e-01 2.163634514886651761e-01 3.706800770972754067e-01 7.098604565220255624e-01 -8.867403401885406433e-01 -4.790097400473193323e-01 -7.352381582438290986e-01 1.121951904770151082e-01 -6.718421789201854954e-01 -5.036298063536340797e-01 7.808067307638422161e-01 -4.792508185887857652e-01 3.068271129970092104e-01
4.802539484436311734e-01 -2.384530630223193448e+00 -8.082572618969194878e-01 4.635114471982487161e-01 6.754648447597557670e-01 -1.361343712576620069e-01 9.617573280289695159e-01 -1.113822715178098388e+00 -2.998915896149709215e-01 -1.059876186086046834e+00 4.209145433715630324e-02 -3.898684577575257659e-01 -7.079666802489363864e-01 1.323666817927562800e+00 -1.327057438743668216e+00 5.780858654202378905e-02
-1.674197669819545153e-01 -2.841613136203884893e-01 -2.847979746270295695e-02 1.613169180821623083e-01 -6.361764557922400254e-01 -3.559893640484528832e-01 -1.240256860040367254e-01 -1.699982498483735005e-01 -1.558316702090537520e-01 9.258212923966968946e-03 -9.678114367781377458e-01 2.209031709567836621e-01 -1.497178897344357551e-01 -1.428400523483838724e-01 2.680980330228621145e-01 -3.454016050678087035e-01
5.167971675381349134e-02 -3.196824357876421052e-01 1.637592242333805459e-01 1.340419269368579858e-01 -3.185826751077557306e-01 -7.356168587431770600e-01 -2.113361423719856969e-01 -1.453323010632780882e-02 2.073878745124632939e-01 3.108586458452097800e-01 -5.719183983494984247e-01 -4.898506250429770191e-03 -5.298259532454688281e-02 -2.898257619887460446e-01 8.436396687556213525e-02 -4.640385663891988810e-01
2.684291833430524354e-01 1.575487276595750885e-01 2.852923914080131573e-01 -2.056894926406629409e-01 3.272920465995454720e-01 -5.565916567021689243e-01 1.796597572756264138e-01 4.002647684749509605e-01 1.813310429963566617e-01 1.110259903854092650e-01 2.072789535888059642e-01 3.117195278316121573e-02 8.157615732606382508e-02 -2.458525353512666933e-01 1.382976674447706222e-01 -2.063209115620496525e-01
-3.081001675099040993e-01 8.547904662537963993e-02 4.413143129408985121e-01 -3.287202933027011942e-01 7.550983660548233889e-01 -1.850064840974474101e-01 6.024167639128196194e-01 2.542643155137053190e-01 2.535467351803694092e-01 5.335993122957380930e-01 3.994233787955782655e-01 -2.480728201191788884e-01 -5.163978758396129409e-01 -2.296100471888496974e-01 1.891887252424421517e-01 -1.149638550231974338e-01
