7.817836336371016825e-01 -2.274604423906679607e+00
2.720751746787326564e-01 -5.206762947829265187e+00
2.231180802574221356e-01 -5.959112762337430702e+00
1.066367881360170244e+00 -2.519111039535872898e-01
-1.305410167721572819e-02 -1.221288630216478197e-02
1.259486389346766710e-01 4.056278980206644569e+00
3.270886721039132916e-01 -1.422882228429141360e+00
-4.331187786293671030e-03 2.136522207819038788e-01
2.683564593272012855e-02 -1.387592067510207139e-02
1.265032960835534848e-01 -7.051418916506524859e+00
-5.724086081469463849e-01 1.236456346423895347e+00
1.332249547654398847e-01 -6.420979936864529281e-01
1.013295644800043194e+00 -1.751979674016342914e+00
2.247399613175108946e-01 -4.957151735463137143e+00
-1.380987634007417642e+00 5.354595547994613902e-01
-1.384153589952851482e-01 2.699404124310703867e+00
